weeknr,week,lec,leclink,lab,lablink
1,Welcome,Course Intro,https://uoepsy.github.io/dapr3/2425/lectures/00intro.html,,
1.01,Week 1,Regression Refresh & Group-Structured Data,https://uoepsy.github.io/dapr3/2425/lectures/01regression.html,Reading: Group-Structured Data,https://uoepsy.github.io/lmm/01_clustered.html
,,,,Exercises: Regression & Clustered Data,https://uoepsy.github.io/dapr3/2425/labs/01ex.html
1.02,Week 2,Multilevel Models,https://uoepsy.github.io/dapr3/2425/lectures/02mlm.html,Reading: The Multi-level/Mixed-effect Model,https://uoepsy.github.io/lmm/02_lmm.html
,,,,Exercises: Introducing MLM,https://uoepsy.github.io/dapr3/2425/labs/02ex.html
1.03,Week 3,Random Effect Structures & Model Building,https://uoepsy.github.io/dapr3/2425/lectures/03ranef.html,Reading: Random Effect Structures ,https://uoepsy.github.io/lmm/07_ranef.html
,,,,Reading: Model Building,https://uoepsy.github.io/lmm/08_modelbuilding.html
,,,,Exercises: Nested & Crossed Structures,https://uoepsy.github.io/dapr3/2425/labs/03ex.html
1.04,Week 4,"Assumptions, Diagnostics & Centering",,,
1.05,Week 5,Recap & Writing Up,,,
1.06,Week 6,No Lecture,,No Lab,
1.07,Week 7,,,,
1.08,Week 8,,,,
1.09,Week 9,,,,
1.1,Week 10,,,,
1.11,Week 11,,,,
